,common_entity,entity1,entity2,entity3,rag_text
466,those damned blue-collar tweekers,primus,1991,pop/rock,"""Those Damned Blue-Collar Tweekers"" is a song by the American rock band Primus. It was released as the third single from their 1991 album Sailing the Seas of Cheese. Unlike its preceding singles ""Jerry Was a Race Car Driver"" and ""Tommy the Cat"", ""Tweekers"" did not feature an accompanying video. The song opens with Larry LaLonde on guitar and a reserved bassline from Les Claypool, from there alternating between his trademark slap bass and a quiet section for the vocals.
The song's narrative describes several different trades that the town's blue collar tweekers engage in, but, like many of the other story-telling songs in Primus's catalogue, lacks any clear, single meaning and leaves plenty of ambiguity in its lyrics. The song is about truck drivers and ""blue-collar workers"" using methamphetamine.

I was born in a suburb by the East Bay, a rural, almost redneck environment. I grew up on the blue-collar side of town. My father was a mechanic, both my uncles are mechanics, my grandfather was a mechanic. That song is not derogatory at all. It’s very much me. A tweaker is someone who is strung out on methyl amphetamines, otherwise known as crank. There’s a reference in there to a guy who hung Sheetrock, and that’s how he got through the day. He’d snort up speed to keep up with the younger guys."
467,el dinero,sindicato argentino del hip hop,2005,hip hop/reggae,
468,dooley,the gourds,2001,country/folk,
469,face to face,alabama,1980,country/folk,
470,big guns,rory gallagher,1982,blues/jazz,
471,blondie,current joys,2013,pop/rock,
472,a piece of the action,the babys,1977,pop/rock,
473,f**k you,sleeping with sirens,2011,pop/rock,
474,if you ever get lonely,love and theft,2012,country/folk,"""If You Ever Get Lonely"" is a song written by Kyle Cook, Lisa Drew, Michael Dulaney, Steven Dale Jones and John Waite. It was originally recorded by Waite on his 2011 album Rough & Tumble and released as the album's first single. It was covered by American country music duo Love and Theft on their second studio album, Love and Theft, in 2012 and released as the album's third single in June 2013.

"
475,my arms were always around you,peter bradley adams,2017,pop/rock,
476,goddaughter (feat. e.n young),pepper,2019,country/folk,
477,goodbye,mary hopkin,1968,pop/rock,
478,me and your cigarettes,miranda lambert,2009,country/folk,
479,tooth fang & claw,ted nugent,2012,blues/jazz,"Hunt Music is a compilation album by American rock musician Ted Nugent. The album did not see a large release but is still available on Internet sites. The second disc contains bonus tracks recorded by Ted Nugent. ""I Just Wanna Go Hunting"" had been unreleased."
480,lightning,dispatch,2000,country/folk,
481,no one receiving,brian eno,1977,pop/rock,
482,find the cost of freedom,"crosby, stills, nash & young",1971,blues/jazz,"""Ohio"" is a protest song and counterculture anthem written and composed by Neil Young in reaction to the Kent State shootings of May 4, 1970, and performed by Crosby, Stills, Nash & Young. It was released as a single, backed with Stephen Stills's ""Find the Cost of Freedom"", peaking at number 14 on the US Billboard Hot 100 and number 16 in Canada. Although live versions of ""Ohio"" and ""Find the Cost of Freedom"" were included on the group's 1971 double album 4 Way Street, the studio versions of both songs did not appear on an LP until the group's compilation So Far was released in 1974. The song also appeared on the Neil Young compilation albums Decade, released in 1977, and Greatest Hits, released in 2004.
The song also appears on Neil Young's Live at Massey Hall album, which he recorded in 1971 but remained unreleased until 2007."
483,slow healing heart,vern gosdin,1984,country/folk,
484,behind the wall of sleep,the smithereens,1986,pop/rock,"""Behind the Wall of Sleep"" is a song by the American alternative rock group The Smithereens, released in 1986. It is the second single released in support of their debut album Especially for You."
485,everybody's somebody's fool,connie francis,1963,pop/rock,"""Everybody's Somebody's Fool"" is a song written by Jack Keller and Howard Greenfield that was a No. 1 hit for Connie Francis in 1960. A polka-style version in German, ""Die Liebe ist ein seltsames Spiel"", was the first German single recorded and released by Connie Francis, and it reached No. 1 on the single chart in 1960 in West Germany."
486,don't forget,the platters,1957,pop/rock,
487,withered hand,thee oh sees,2015,blues/jazz,
488,still falling for you,boz scaggs,1977,country/folk,
489,hip hop barber shop request line,xscape,1995,hip hop/reggae,
490,to the dogs or whoever,josh ritter,2007,country/folk,
491,let the rest of the world go by,willie nelson,1979,country/folk,
492,proceed,the roots,2017,hip hop/reggae,
493,why can't he be you,patsy cline,1963,country/folk,"""Why Can't He Be You""' is a song written by Hank Cochran that was originally recorded by American country artist Patsy Cline. The song became a minor chart hit was later included on Cline's Greatest Hits album. It has since been notably covered by Loretta Lynn and Norah Jones."
494,there's a tear in my beer,hank williams,1992,country/folk,"""There's a Tear in My Beer"" is a country song written by Hank Williams and recorded by Big Bill Lister, which was later re-recorded by his son in 1988."
495,crash,casey donahew,2006,country/folk,
496,harmony,slade,1985,blues/jazz,
497,burning down,nazareth,1984,blues/jazz,
498,kind of woman,stevie nicks,1981,pop/rock,
499,"forgive, don't forget",soja,2002,country/folk,
500,mercy,wire,1978,pop/rock,
501,gettin' down on the mountain,corb lund,2012,country/folk,
502,tourniquet,tesseract,2015,blues/jazz,
503,patricia,pérez prado,1950,pop/rock,
504,let's pretend,raspberries,1972,pop/rock,"""Let's Pretend"" is a song by Raspberries, released in March 1973 as the second single from their second LP, Fresh. It was written by band leader Eric Carmen, who also provided the lead vocals.
The song reached the top 40 on three principal US charts, including at number 35 on the Billboard Hot 100, and number 14 on Record World. It was also a number 13 hit in Canada, becoming their second greatest hit in that country. The song spent 16 weeks on the Billboard chart, longer than any of their other singles except for their greatest hit, ""Go All the Way"", which lasted 18 weeks."
505,welcome into my world,george benson,1979,blues/jazz,
506,wishing well,terence trent d'arby,1987,pop/rock,
507,don't give it up,larry carlton,1978,blues/jazz,
508,holiday (feat. phiness),naughty by nature,1999,pop/rock,"American hip hop group Naughty by Nature have released seven studio albums, two compilation albums and eighteen singles."
509,don't let it get you down,johnnyswim,2013,pop/rock,
510,coroner,lando chill,2016,blues/jazz,
511,"one man, one woman",abba,1977,pop/rock,"""One Man, One Woman"" is a song by ABBA, released on their 1977 album ABBA: The Album. It is that album's third track after ""Eagle"" and ""Take a Chance on Me"". Composed by Benny Andersson and Björn Ulvaeus, it has appeared on several compilation albums over the years, such as 1998's Love Stories and 2012's The Essential Collection."
512,the whip,the ethiopians,2004,country/folk,
513,chicago,"crosby, stills, nash & young",1971,blues/jazz,
514,good ole days (feat. brent cobb),whiskey myers,2016,country/folk,
515,under the sun,black sabbath,1972,pop/rock,
516,check out your mind,the impressions,1970,pop/rock,
517,the streets of laredo,johnny cash,1965,country/folk,
518,nobody in his right mind would've left her,keith whitley,1985,country/folk,
519,verbal clap,de la soul,2004,blues/jazz,
520,thorn in my pride,the black crowes,1992,pop/rock,
521,shot clock,ella mai,2018,pop/rock,"""Shot Clock"" is a song by English singer Ella Mai from her eponymous debut studio album. The song peaked at number 62 on the Billboard Hot 100. The song was written by Mai, Micah, Drake , Dijon McFarlane, Jahron Brathwaite, Quentin Miller, Benjamin Bush, Stephen Garrett and Timothy Mosley and features production by DJ Mustard."
522,"be all, end all",anthrax,1988,pop/rock,
523,soldiers,abba,1981,pop/rock,
524,keep it dark,genesis,1981,pop/rock,"""Keep It Dark"" is a song by British band Genesis, released on 23 October 1981 in the UK as the second single from Abacab.  It reached number 33 in the UK Singles Chart."
525,i second that emotion,jerry garcia,1988,blues/jazz,
526,hussle in the house,nipsey hussle,2019,hip hop/reggae,"Ermias Joseph Asghedom (August 15, 1985 – March 31, 2019; born Airmiess Joseph Asghedom), known professionally as Nipsey Hussle (often stylized as Nipsey Hu$$le), was an American rapper, entrepreneur, and activist. Emerging from the West Coast hip hop scene in the mid-2000s, Hussle independently released his debut mixtape, Slauson Boy Volume 1, to moderate local success, which led to him being signed to Cinematic Music Group and Epic Records.
Hussle became known for his numerous mixtapes, including his Bullets Ain't Got No Name series, The Marathon, The Marathon Continues, and Crenshaw, the last of which American rapper Jay-Z bought 100 copies for $100 each. After much delay, his debut studio album Victory Lap was released in 2018 to critical acclaim and commercial success, and was nominated for the Best Rap Album at the 61st Grammy Awards in 2019. At the 62nd Grammy Awards in 2020, two posthumous Grammy Awards for the songs ""Racks in the Middle"" and ""Higher"" were awarded to Hussle in the Best Rap Performance and Best Rap/Sung Performance categories respectively.Outside of music, Hussle inaugurated the Marathon Clothing store, which he founded along with partners Carless, the head of the agency, Karen Civil, and his brother Samiel Asghedom in 2017, and started a co-working environment which he named ""Vector 90"". On March 31, 2019, Hussle was fatally shot outside his store in South Central Los Angeles. Eric Holder, a 29-year-old man who confronted Hussle earlier that day, was arrested and charged with murder two days later. Holder was found guilty of first-degree murder on July 6, 2022. On February 22, 2023, Holder was sentenced to 60 years to life in prison.

"
