,rag,common_entity,entity1,entity2,entity3,entity4
1585,Wes Morgan,W. Morgan,Leicester City,5,Jamaica,English Premier League
1586,Luca Rigoni,L. Rigoni,Parma,32,Italy,Italian Serie A
1587,Wilfredo Daniel Caballero,W. Caballero,Chelsea,13,Argentina,English Premier League
1588,Jérémy Morel,J. Morel,Stade Rennais FC,15,Madagascar,French Ligue 1
1589,Rafael de Andrade Bittencourt Pinheiro,Rafael,Cagliari,1,Brazil,Italian Serie A
1590,Marcelo Alberto Barovero,M. Barovero,CF Monterrey,1,Argentina,Mexican Liga MX
1591,Pablo Javier Zabaleta Girod,P. Zabaleta,West Ham United,5,Argentina,English Premier League
1592,Mariano Damián Barbosa,M. Barbosa,Villarreal CF,25,Argentina,Spain Primera Division
1593,Gökhan Gönül,G. Gönül,Beşiktaş JK,77,Turkey,Turkish Süper Lig
1594,Łukasz Józef Podolski,L. Podolski,Vissel Kobe,10,Germany,Japanese J. League Division 1
1595,Ramazan Özcan,R. Özcan,Bayer 04 Leverkusen,28,Austria,German 1. Bundesliga
1596,Rubens Omar Óscar Sambueza,R. Sambueza,Pachuca,9,Argentina,Mexican Liga MX
1597,Magnus Wolff Eikrem,M. Wolff Eikrem,Molde FK,7,Norway,Norwegian Eliteserien
1598,José de Jesús Corona Rodríguez,J. Corona,Cruz Azul,1,Mexico,Mexican Liga MX
1599,Jorge Luís Valdivia Toro,J. Valdivia,Colo-Colo,10,Chile,Chilian Campeonato Nacional
1600,Scott Dann,S. Dann,Crystal Palace,6,England,English Premier League
1601,Salvador Sevilla López,Salva Sevilla,RCD Mallorca,8,Spain,Spain Primera Division
1602,Jacques-Alaixys Romao,A. Romao,Stade de Reims,4,Togo,French Ligue 1
1603,Valon Behrami,V. Behrami,FC Sion,11,Switzerland,Swiss Super League
1604,Faris Dominguere Jenny Haroun,F. Haroun,Royal Antwerp FC,38,Belgium,Belgian Jupiler Pro League
1605,Leighton Baines,L. Baines,Everton,3,England,English Premier League
1606,Daniel Congré,D. Congré,Montpellier Hérault SC,3,France,French Ligue 1
1607,Sergio Álvarez Conde,Sergio,RC Celta de Vigo,1,Spain,Spain Primera Division
1608,Lior Refaelov,L. Refaelov,Royal Antwerp FC,11,Israel,Belgian Jupiler Pro League
1609,Jakub Błaszczykowski,J. Błaszczykowski,Wisła Kraków,16,Poland,Polish T-Mobile Ekstraklasa
1610,Gustavo Daniel Cabral Cáceres,G. Cabral,Pachuca,21,Argentina,Mexican Liga MX
1611,Cássio Albuquerque dos Anjos,Cássio,Al Taawoun,1,Brazil,Saudi Abdul L. Jameel League
1612,Gonzalo Castro Randon,G. Castro,VfB Stuttgart,8,Germany,German 2. Bundesliga
1613,Nicolás Mario Domingo,N. Domingo,Club Atlético Independiente,5,Argentina,Argentina Primera División
1614,Hugo Rodallega Martínez,H. Rodallega,Denizlispor,7,Colombia,Turkish Süper Lig
1615,José Carlos Gonçalves Rodrigues,Zeca,F.C. København,10,Greece,Danish Superliga
1616,Antonio Barragán Fernández,Barragán,Real Betis Balompié,19,Spain,Spain Primera Division
1617,Darren Randolph,D. Randolph,Middlesbrough,23,Republic of Ireland,English League Championship
1618,Wayne Robert Hennessey,W. Hennessey,Crystal Palace,13,Wales,English Premier League
1619,Lorenzo De Silvestri,L. De Silvestri,Torino F.C.,29,Italy,Italian Serie A
1620,Diego Mario Buonanotte Rende,D. Buonanotte,Universidad Católica,18,Argentina,Chilian Campeonato Nacional
1621,Mario Suárez Mata,Mario Suárez,Rayo Vallecano,4,Spain,Spanish Segunda División
1622,Caner Erkin,C. Erkin,Beşiktaş JK,88,Turkey,Turkish Süper Lig
1623,Hugo Ayala Castro,H. Ayala,Tigres U.A.N.L.,4,Mexico,Mexican Liga MX
1624,Matías Lionel Fritzler,M. Fritzler,Club Atlético Colón,5,Argentina,Argentina Primera División
1625,Jonas Bybjerg Lössl,J. Lössl,Everton,49,Denmark,English Premier League
1626,Asmir Begović,A. Begović,AFC Bournemouth,27,Bosnia and Herzegovina,English Premier League
1627,Andrew Surman,A. Surman,AFC Bournemouth,6,England,English Premier League
1628,Adrian Mariappa,A. Mariappa,Watford,6,Jamaica,English Premier League
1629,Matías Ariel Fernández Fernández,M. Fernández,Junior FC,18,Chile,Colombian Liga Postobón
1630,Sven Kums,S. Kums,RSC Anderlecht,20,Belgium,Belgian Jupiler Pro League
1631,Nabil Dirar,N. Dirar,Fenerbahçe SK,17,Morocco,Turkish Süper Lig
1632,Manuel Marouan da Costa Trinidade,Manuel da Costa,Al Ittihad,17,Morocco,Saudi Abdul L. Jameel League
1633,Francisco Casilla Cortés,Kiko Casilla,Leeds United,13,Spain,English League Championship
1634,Martin Harnik,M. Harnik,SV Werder Bremen,9,Austria,German 1. Bundesliga
1635,Papiss Demba Cissé,P. Cissé,Aytemiz Alanyaspor,9,Senegal,Turkish Süper Lig
1636,Stefano Okaka Chuka,S. Okaka,Watford,33,Italy,English Premier League
1637,Ola Williams Kamara,O. Kamara,D.C. United,17,Norway,USA Major League Soccer
1638,Adel Taarabt,A. Taarabt,SL Benfica,49,Morocco,Portuguese Liga ZON SAGRES
1639,Dame N'Doye,D. N'Doye,F.C. København,14,Senegal,Danish Superliga
1640,Thomas Kraft,T. Kraft,Hertha BSC,1,Germany,German 1. Bundesliga
1641,William Vainqueur,W. Vainqueur,Toulouse Football Club,21,France,French Ligue 1
1642,Daniel Vuković,D. Vukovic,KRC Genk,1,Australia,Belgian Jupiler Pro League
1643,Odil Akhmedov,O. Akhmedov,Shanghai Port FC,25,Uzbekistan,Chinese Super League
1644,Alexandru Epureanu,A. Epureanu,İstanbul Başakşehir FK,6,Moldova,Turkish Süper Lig
1645,Andrea Ranocchia,A. Ranocchia,Inter,13,Italy,Italian Serie A
1646,Mahmut Tekdemir,M. Tekdemir,İstanbul Başakşehir FK,21,Turkey,Turkish Süper Lig
1647,Andy Carroll,A. Carroll,Newcastle United,7,England,English Premier League
1648,Carlos Alberto Sánchez Moreno,C. Sánchez,West Ham United,15,Colombia,English Premier League
1649,Håvard Nordtveit,H. Nordtveit,TSG Hoffenheim,6,Norway,German 1. Bundesliga
1650,Ciaran Clark,C. Clark,Newcastle United,2,Republic of Ireland,English Premier League
1651,Fin Bartels,F. Bartels,SV Werder Bremen,22,Germany,German 1. Bundesliga
1652,Sten Michael Grytebust,S. Grytebust,F.C. København,13,Norway,Danish Superliga
1653,Konstantinos Mitroglou,K. Mitroglou,Galatasaray SK,88,Greece,Turkish Süper Lig
1654,Jonathan Hogg,J. Hogg,Huddersfield Town,6,England,English League Championship
1655,Sebastian Langkamp,S. Langkamp,SV Werder Bremen,15,Germany,German 1. Bundesliga
1656,Martin Kelly,M. Kelly,Crystal Palace,34,England,English Premier League
1657,Lamine Koné,L. Koné,RC Strasbourg Alsace,5,Côte d'Ivoire,French Ligue 1
1658,Christian Benteke Liolo,C. Benteke,Crystal Palace,17,Belgium,English Premier League
1659,Sébastien Dewaest,S. Dewaest,KRC Genk,6,Belgium,Belgian Jupiler Pro League
1660,Romain Thomas,R. Thomas,Angers SCO,24,France,French Ligue 1
1661,Younousse Sankharé,Y. Sankharé,FC Girondins de Bordeaux,47,Senegal,French Ligue 1
1662,Matteo Darmian,M. Darmian,Manchester United,36,Italy,English Premier League
1663,Ricky van Wolfswinkel,R. van Wolfswinkel,FC Basel 1893,9,Netherlands,Swiss Super League
1664,Luis Arturo Montes Jiménez,L. Montes,Club León,10,Mexico,Mexican Liga MX
1665,Joseph Michael Allen,J. Allen,Stoke City,4,Wales,English League Championship
1666,Dan Gosling,D. Gosling,AFC Bournemouth,4,England,English Premier League
1667,Ismaël Traoré,I. Traoré,Angers SCO,8,Côte d'Ivoire,French Ligue 1
1668,Rodolfo Cota Robles,R. Cota,Club León,30,Mexico,Mexican Liga MX
1669,Kieran Gibbs,K. Gibbs,West Bromwich Albion,3,England,English League Championship
1670,Oliver Norwood,O. Norwood,Sheffield United,16,Northern Ireland,English Premier League
1671,Marco Jhonfai Fabián De La Mora,M. Fabián,Philadelphia Union,10,Mexico,USA Major League Soccer
1672,Matt Ritchie,M. Ritchie,Newcastle United,11,Scotland,English Premier League
1673,Bernardo José Espinosa Zúñiga,B. Espinosa,RCD Espanyol de Barcelona,20,Colombia,Spain Primera Division
1674,Tamás Kádár,T. Kádár,Dynamo Kyiv,44,Hungary,Rest of World
1675,Alberto Paloschi,A. Paloschi,SPAL,43,Italy,Italian Serie A
1676,Jorge Daniel Hernández Govea,J. Hernández,Pachuca,16,Mexico,Mexican Liga MX
1677,Viktor Vasin,V. Vasin,PFC CSKA Moscow,5,Russia,Rest of World
1678,Mauricio Aníbal Isla Isla,M. Isla,Fenerbahçe SK,4,Chile,Turkish Süper Lig
1679,Matt Phillips,M. Phillips,West Bromwich Albion,10,Scotland,English League Championship
1680,James Patrick McCarthy,J. McCarthy,Crystal Palace,22,Republic of Ireland,English Premier League
1681,Mubarak Wakaso,M. Wakaso,Deportivo Alavés,22,Ghana,Spain Primera Division
1682,Volkan Babacan,V. Babacan,İstanbul Başakşehir FK,1,Turkey,Turkish Süper Lig
1683,Cristian Darío Álvarez,C. Álvarez,Real Zaragoza,1,Argentina,Spanish Segunda División
1684,Daniel Brosinski,D. Brosinski,1. FSV Mainz 05,18,Germany,German 1. Bundesliga
1685,Francesco Caputo,F. Caputo,U.S. Sassuolo Calcio,9,Italy,Italian Serie A
1686,Yannick Bolasie Yala,Y. Bolasie,Everton,31,Congo DR,English Premier League
1687,Jonathas de Jesus Maurício,Jonathas,Hannover 96,9,Brazil,German 2. Bundesliga
1688,Jakup Jimmy Durmaz,J. Durmaz,Galatasaray SK,21,Sweden,Turkish Süper Lig
1689,João Miguel Coimbra Aurélio,João Aurélio,Moreirense FC,2,Portugal,Portuguese Liga ZON SAGRES
1690,Bastian Oczipka,B. Oczipka,FC Schalke 04,24,Germany,German 1. Bundesliga
1691,Junior Stanislas,J. Stanislas,AFC Bournemouth,19,England,English Premier League
1692,Davide Santon,D. Santon,Roma,18,Italy,Italian Serie A
1693,Aleksandar Prijović,A. Prijović,Al Ittihad,99,Serbia,Saudi Abdul L. Jameel League
1694,Éderzito António Macedo Lopes,Éder,FC Lokomotiv Moscow,19,Portugal,Rest of World
1695,Enrique González Casín,Quique,SD Eibar,7,Spain,Spain Primera Division
1696,Yannis Salibur,Y. Salibur,En Avant de Guingamp,34,France,French Ligue 2
1697,Fehmi Mert Günok,M. Günok,İstanbul Başakşehir FK,34,Turkey,Turkish Süper Lig
1698,Damien Vincent Denis Le Tallec,D. Le Tallec,Montpellier Hérault SC,14,France,French Ligue 1
1699,Manuel Gulde,M. Gulde,Sport-Club Freiburg,5,Germany,German 1. Bundesliga
1700,Tolgay Ali Arslan,T. Arslan,Fenerbahçe SK,6,Germany,Turkish Süper Lig
1701,Omar Elabdellaoui,O. Elabdellaoui,Olympiacos CFP,14,Norway,Rest of World
1702,Fredy Henkyer Montero Muñoz,F. Montero,Vancouver Whitecaps FC,12,Colombia,USA Major League Soccer
1703,Osvaldo Alonso Moreno,O. Alonso,Minnesota United FC,6,Cuba,USA Major League Soccer
1704,Luigi Sepe,L. Sepe,Parma,1,Italy,Italian Serie A
1705,Dídac Vilá Rosselló,Dídac Vilà,RCD Espanyol de Barcelona,17,Spain,Spain Primera Division
1706,Junior Wakalible Lago,L. Júnior,RCD Mallorca,11,Côte d'Ivoire,Spain Primera Division
1707,Mats Rits,M. Rits,Club Brugge KV,26,Belgium,Belgian Jupiler Pro League
1708,吉田 麻也,M. Yoshida,Southampton,3,Japan,English Premier League
1709,Valon Berisha,V. Berisha,Lazio,7,Kosovo,Italian Serie A
1710,Luis Alfonso Rodríguez Alanís,L. Rodríguez,Tigres U.A.N.L.,28,Mexico,Mexican Liga MX
1711,Paul Lasne,P. Lasne,Stade Brestois 29,13,France,French Ligue 1
1712,Javier Ignacio Aquino Carmona,J. Aquino,Tigres U.A.N.L.,20,Mexico,Mexican Liga MX
1713,Emmanuel Agyemang-Badu,E. Badu,Hellas Verona,6,Ghana,Italian Serie A
1714,Artur Ioniță,A. Ioniță,Cagliari,21,Moldova,Italian Serie A
1715,Holger Badstuber,H. Badstuber,VfB Stuttgart,28,Germany,German 2. Bundesliga
1716,Gaëtan Charbonnier,G. Charbonnier,Stade Brestois 29,10,France,French Ligue 1
1717,Emanuele Giaccherini,E. Giaccherini,Chievo Verona,17,Italy,Italian Serie B
1718,Maxime Gonalons,M. Gonalons,Roma,6,France,Italian Serie A
1719,Neil Leonard Dula Etheridge,N. Etheridge,Cardiff City,1,Philippines,English League Championship
1720,Martin Braithwaite Christensen,M. Braithwaite,CD Leganés,7,Denmark,Spain Primera Division
1721,Philipp Bargfrede,P. Bargfrede,SV Werder Bremen,44,Germany,German 1. Bundesliga
1722,Mattia Destro,M. Destro,Bologna,22,Italy,Italian Serie A
1723,Hanno Behrens,H. Behrens,1. FC Nürnberg,18,Germany,German 2. Bundesliga
1724,Xavier Chavalerin,X. Chavalerin,Stade de Reims,7,France,French Ligue 1
1725,Fábio Ricardo Gomes Fonseca,Fábio Espinho,Boavista FC,10,Portugal,Portuguese Liga ZON SAGRES
1726,Alper Potuk,A. Potuk,Fenerbahçe SK,26,Turkey,Turkish Süper Lig
1727,Leonardo Rodrigues Pereira,Leonardo,Tianjin Quanjian FC,29,Brazil,Chinese Super League
1728,Rafał Gikiewicz,R. Gikiewicz,1. FC Union Berlin,1,Poland,German 1. Bundesliga
1729,長友 佑都,Y. Nagatomo,Galatasaray SK,55,Japan,Turkish Süper Lig
1730,Borja García Freire,Borja García,Girona FC,10,Spain,Spanish Segunda División
1731,Craig Dawson,C. Dawson,Watford,4,England,English Premier League
1732,Tiago Miguel Baía Pinto,Tiago Pinto,MKE Ankaragücü,8,Portugal,Turkish Süper Lig
1733,Borja González Tomás,Borja Bastón,Swansea City,9,Spain,English League Championship
1734,Florian Kainz,F. Kainz,1. FC Köln,30,Austria,German 1. Bundesliga
1735,Miloš Ninković,M. Ninković,Sydney FC,10,Serbia,Australian Hyundai A-League
1736,Javier López Rodríguez,Javi López,RCD Espanyol de Barcelona,16,Spain,Spain Primera Division
1737,James Henry Tavernier,J. Tavernier,Rangers FC,2,England,Scottish Premiership
1738,Charlie Austin,C. Austin,West Bromwich Albion,15,England,English League Championship
1739,José Pedro Fuenzalida Gana,J. Fuenzalida,Universidad Católica,19,Chile,Chilian Campeonato Nacional
1740,Gilbert Gianelli Imbula Wanga,G. Imbula,Stoke City,21,France,English League Championship
1741,Jordan Pierre Ayew,J. Ayew,Crystal Palace,9,Ghana,English Premier League
1742,Joaquín Navarro Jiménez,Ximo Navarro,Deportivo Alavés,23,Spain,Spain Primera Division
1743,Caio Canedo Corrêa,Caio,Al Ain FC,7,Brazil,Rest of World
1744,Franco Daniel Jara,F. Jara,Pachuca,29,Argentina,Mexican Liga MX
1745,Abdul Majeed Waris,M. Waris,FC Porto,40,Ghana,Portuguese Liga ZON SAGRES
1746,Josip Drmić,J. Drmić,Norwich City,20,Switzerland,English Premier League
1747,Oscar Fabián Murillo Murillo,Ó. Murillo,Pachuca,23,Colombia,Mexican Liga MX
1748,Dominick Drexler,D. Drexler,1. FC Köln,24,Germany,German 1. Bundesliga
1749,Zakaria Labyad,Z. Labyad,Ajax,19,Morocco,Holland Eredivisie
1750,Jonas Svensson,J. Svensson,AZ Alkmaar,2,Norway,Holland Eredivisie
1751,Fredrik Midtsjø,F. Midtsjø,AZ Alkmaar,6,Norway,Holland Eredivisie
1752,Nampalys Mendy,N. Mendy,Leicester City,24,France,English Premier League
1753,Danilo D'Ambrosio,D. D'Ambrosio,Inter,33,Italy,Italian Serie A
1754,Sergio Álvarez Díaz,Sergio Álvarez,SD Eibar,6,Spain,Spain Primera Division
1755,Matthew Lowton,M. Lowton,Burnley,2,England,English Premier League
1756,Leandro Martín González Pírez,L. González Pirez,Atlanta United,5,Argentina,USA Major League Soccer
1757,Daniel Royer,D. Royer,New York Red Bulls,77,Austria,USA Major League Soccer
1758,Emre Çolak,E. Çolak,Al Wehda,10,Turkey,Saudi Abdul L. Jameel League
1759,Nicolás Blandi,N. Blandi,San Lorenzo de Almagro,9,Argentina,Argentina Primera División
1760,Guilherme Costa Marques,Guilherme,Yeni Malatyaspor,66,Brazil,Turkish Süper Lig
1761,Lukas Rupp,L. Rupp,TSG Hoffenheim,7,Germany,German 1. Bundesliga
1762,Jeff Patrick Hendrick,J. Hendrick,Burnley,13,Republic of Ireland,English Premier League
1763,Nacer Chadli,N. Chadli,RSC Anderlecht,19,Belgium,Belgian Jupiler Pro League
1764,Yevhen Konoplyanka,Y. Konoplyanka,FC Schalke 04,11,Ukraine,German 1. Bundesliga
1765,Łukasz Teodorczyk,Ł. Teodorczyk,Udinese Calcio,91,Poland,Italian Serie A
1766,Rasmus Falk Jensen,R. Falk,F.C. København,33,Denmark,Danish Superliga
1767,Federico Javier Santander Mereles,F. Santander,Bologna,9,Paraguay,Italian Serie A
1768,Cristiano Biraghi,C. Biraghi,Fiorentina,3,Italy,Italian Serie A
1769,Nicola Domenico Sansone,N. Sansone,Bologna,10,Italy,Italian Serie A
1770,Valentin Eysseric,V. Eysseric,Fiorentina,16,France,Italian Serie A
1771,José Luis García del Pozo,Recio,CD Leganés,8,Spain,Spain Primera Division
1772,Gabriel Vasconelos Ferreira,Gabriel,Lecce,21,Brazil,Italian Serie A
1773,Alfred Benjamin Gomis,A. Gomis,SPAL,1,Senegal,Italian Serie A
1774,Jonathan Schmid,J. Schmid,Sport-Club Freiburg,7,France,German 1. Bundesliga
1775,Jasmin Kurtić,J. Kurtić,SPAL,19,Slovenia,Italian Serie A
1776,Darlington Joephillip Nagbe,D. Nagbe,Atlanta United,6,United States,USA Major League Soccer
1777,Stefano Sturaro,S. Sturaro,Genoa,27,Italy,Italian Serie A
1778,Konstantinos Stafylidis,K. Stafylidis,TSG Hoffenheim,5,Greece,German 1. Bundesliga
1779,Stuart Armstrong,S. Armstrong,Southampton,17,Scotland,English Premier League
1780,Timothy Chandler,T. Chandler,Eintracht Frankfurt,22,United States,German 1. Bundesliga
1781,Abdoulay Diaby,A. Diaby,Sporting CP,23,Mali,Portuguese Liga ZON SAGRES
1782,Fabrício dos Santos Messias,Fabrício,Urawa Red Diamonds,12,Brazil,Japanese J. League Division 1
1783,Rodrigo Ely,Rodrigo Ely,Deportivo Alavés,4,Brazil,Spain Primera Division
1784,Jesé Rodríguez Ruiz,Jesé,Paris Saint-Germain,26,Spain,French Ligue 1
1785,Damián Emiliano Martínez,E. Martínez,Arsenal,26,Argentina,English Premier League
1786,Fabián Andrés Castillo Sánchez,F. Castillo,Gallos Blancos de Querétaro,11,Colombia,Mexican Liga MX
1787,Diego Ferney Chara Zamora,D. Chará,Portland Timbers,21,Colombia,USA Major League Soccer
1788,Valère Germain,V. Germain,Olympique de Marseille,28,France,French Ligue 1
1789,Vhakka Eddy Stelh Gnahoré,E. Gnahoré,Amiens SC,5,France,French Ligue 1
1790,Terence Kongolo,T. Kongolo,Huddersfield Town,5,Netherlands,English League Championship
1791,Alfredo Donnarumma,A. Donnarumma,Brescia,9,Italy,Italian Serie A
1792,Felipe Alejandro Gutiérrez Leiva,F. Gutiérrez,Sporting Kansas City,21,Chile,USA Major League Soccer
1793,Bruno Zuculini,B. Zuculini,River Plate,5,Argentina,Argentina Primera División
1794,Lévy Koffi Djidji,K. Djidji,Torino F.C.,30,Côte d'Ivoire,Italian Serie A
1795,Eric Fernando Botteghin,Eric Botteghin,Feyenoord,33,Brazil,Holland Eredivisie
1796,Lucas Andersen,L. Andersen,Aalborg BK,10,Denmark,Danish Superliga
1797,Federico Vico Villegas,Fede Vico,Granada CF,14,Spain,Spain Primera Division
1798,Paul Dummett,P. Dummett,Newcastle United,3,Wales,English Premier League
1799,Bouna Sarr,B. Sarr,Olympique de Marseille,17,France,French Ligue 1
1800,Aleksandar Katai,A. Katai,Chicago Fire Football Club,10,Serbia,USA Major League Soccer
1801,Phillipp Klement,P. Klement,VfB Stuttgart,21,Germany,German 2. Bundesliga
1802,Paulo Dino Gazzaniga,P. Gazzaniga,Tottenham Hotspur,22,Argentina,English Premier League
1803,Hillel El Arbi Soudani,H. Soudani,Olympiacos CFP,2,Algeria,Rest of World
1804,Filip Novák,F. Novák,Trabzonspor,77,Czech Republic,Turkish Süper Lig
1805,Michael Krmenčík,M. Krmenčík,FC Viktoria Plzeň,15,Czech Republic,Czech Republic Gambrinus Liga
1806,Luís Hernández Rodríguez,Luís Hernández,Málaga CF,4,Spain,Spanish Segunda División
1807,Alexander Ring,A. Ring,New York City FC,8,Finland,USA Major League Soccer
1808,Nathaniel Chalobah,N. Chalobah,Watford,14,England,English Premier League
1809,Silviu Lung,S. Lung,Yukatel Kayserispor,33,Romania,Turkish Süper Lig
1810,Calum Chambers,C. Chambers,Arsenal,21,England,English Premier League
1811,Jetro Willems,J. Willems,Newcastle United,15,Netherlands,English Premier League
1812,Sam Johnstone,S. Johnstone,West Bromwich Albion,1,England,English League Championship
1813,Luciano Román Aued,L. Aued,Universidad Católica,11,Argentina,Chilian Campeonato Nacional
1814,Sergiy Kryvtsov,S. Kryvtsov,Shakhtar Donetsk,4,Ukraine,Rest of World
1815,Solomon March,S. March,Brighton & Hove Albion,20,England,English Premier League
1816,Kenneth Josiah Omeruo,K. Omeruo,CD Leganés,4,Nigeria,Spain Primera Division
1817,Lucas Pedro Alves de Lima,Lucas Lima,FC Nantes,6,Brazil,French Ligue 1
1818,Tomas Petar Rogić,T. Rogić,Celtic,18,Australia,Scottish Premiership
1819,Dimitrios Pelkas,D. Pelkas,PAOK,10,Greece,Rest of World
1820,Leandro Miguel Fernández,L. Fernández,Vélez Sarsfield,18,Argentina,Argentina Primera División
1821,Daniel Sartori Bessa,D. Bessa,Hellas Verona,8,Italy,Italian Serie A
1822,Petros Mantalos,P. Mantalos,AEK Athens,20,Greece,Rest of World
1823,Clinton Mukoni Mata Pedro Lourenço,Clinton Mata,Club Brugge KV,77,Angola,Belgian Jupiler Pro League
1824,Robin Kwamina Quaison,R. Quaison,1. FSV Mainz 05,7,Sweden,German 1. Bundesliga
1825,Thomas Foket,T. Foket,Stade de Reims,32,Belgium,French Ligue 1
1826,Joseph Alfred Duncan,A. Duncan,U.S. Sassuolo Calcio,8,Ghana,Italian Serie A
1827,Óscar Plano Pedreño,Óscar Plano,Real Valladolid CF,10,Spain,Spain Primera Division
1828,Stefan Mitrović,S. Mitrović,RC Strasbourg Alsace,13,Serbia,French Ligue 1
1829,José Juan Vázquez Gómez,J. Vázquez,Santos Laguna,23,Mexico,Mexican Liga MX
1830,Siebe Schrijvers,S. Schrijvers,Club Brugge KV,16,Belgium,Belgian Jupiler Pro League
