,rag,common_entity,entity1,entity2,entity3,entity4,rag_text
6540,Michael Parensen,M. Parensen,1. FC Union Berlin,29,Germany,German 1. Bundesliga,
6541,Juan Manuel Marrero Monzón,Juanma,CF Fuenlabrada,5,Spain,Spanish Segunda División,
6542,Luis Gonzalo Bustamante,G. Bustamante,Curicó Unido,20,Argentina,Chilian Campeonato Nacional,
6543,Oriol Riera Magem,Oriol Riera,CF Fuenlabrada,21,Spain,Spanish Segunda División,
6544,Benjamin Watson,B. Watson,Nottingham Forest,8,England,English League Championship,
6545,Alberto Zapater Arjol,Zapater,Real Zaragoza,21,Spain,Spanish Segunda División,
6546,Luke Chambers,L. Chambers,Ipswich Town,4,England,English League One,
6547,Steve Morison,S. Morison,Shrewsbury Town,20,Wales,English League One,
6548,Neil Kilkenny,N. Kilkenny,Perth Glory,88,Australia,Australian Hyundai A-League,
6549,Michael McGovern,M. McGovern,Norwich City,33,Northern Ireland,English Premier League,
6550,Behrang Safari,B. Safari,Malmö FF,4,Sweden,Swedish Allsvenskan,
6551,Jeff Larentowicz,J. Larentowicz,Atlanta United,18,United States,USA Major League Soccer,
6552,Jonas Brix-Damborg,J. Brix-Damborg,Hobro IK,12,Denmark,Danish Superliga,
6553,Adam Larsen Kwarasey,A. Kwarasey,Vålerenga Fotball,21,Ghana,Norwegian Eliteserien,
6554,David Wheater,D. Wheater,Oldham Athletic,31,England,English League Two,
6555,Darío Bottinelli,D. Bottinelli,Unión de Santa Fe,15,Argentina,Argentina Primera División,
6556,오범석 吴范锡,Oh Beom Seok,Gangwon FC,14,Korea Republic,Korean K League 1,
6557,Fatih Öztürk,F. Öztürk,Kasimpaşa SK,99,Turkey,Turkish Süper Lig,
6558,Colin Kazim-Richards,C. Kazim-Richards,Tiburones Rojos de Veracruz,9,Turkey,Mexican Liga MX,
6559,Jake Maxwell Wright,J. Wright,Sheffield United,32,England,English Premier League,
6560,Efraín Juárez Váldez,E. Juárez,Vålerenga Fotball,5,Mexico,Norwegian Eliteserien,
6561,Issiar Dia,I. Dia,Yeni Malatyaspor,87,Senegal,Turkish Süper Lig,
6562,Raffaele Schiavi,R. Schiavi,Cosenza,68,Italy,Italian Serie B,
6563,Markus Karl,M. Karl,SV Sandhausen,23,Germany,German 2. Bundesliga,
6564,Ikechi Anya,I. Anya,Derby County,30,Scotland,English League Championship,
6565,Jordens Peters,J. Peters,Willem II,4,Netherlands,Holland Eredivisie,
6566,Ángel Eduardo Reyna Martínez,Á. Reyna,Tiburones Rojos de Veracruz,10,Mexico,Mexican Liga MX,
6567,Jasmin Fejzić,J. Fejzić,Eintracht Braunschweig,16,Bosnia and Herzegovina,German 3. Bundesliga,
6568,Lee Peltier,L. Peltier,Cardiff City,2,England,English League Championship,
6569,David Peter Gray,D. Gray,Hibernian,2,Scotland,Scottish Premiership,
6570,Roy Johannes Hendricus Beerens,R. Beerens,Vitesse,16,Netherlands,Holland Eredivisie,
6571,Cole Skuse,C. Skuse,Ipswich Town,8,England,English League One,
6572,Jan Zimmermann,J. Zimmermann,Eintracht Frankfurt,37,Germany,German 1. Bundesliga,
6573,Jamie MacDonald,J. MacDonald,Kilmarnock,1,Scotland,Scottish Premiership,
6574,Mikkel Andersen,M. Andersen,FC Midtjylland,31,Denmark,Danish Superliga,
6575,Edgar Eduardo Castillo Carrillo,E. Castillo,New England Revolution,8,United States,USA Major League Soccer,
6576,Michael Ian Mancienne,M. Mancienne,New England Revolution,28,England,USA Major League Soccer,
6577,Jessy Moulin,J. Moulin,AS Saint-Étienne,30,France,French Ligue 1,
6578,Luis Manuel Seijas Gunther,L. Seijas,Club Independiente Santa Fe,20,Venezuela,Colombian Liga Postobón,
6579,Siebe Lieve Blondelle,S. Blondelle,KAS Eupen,22,Belgium,Belgian Jupiler Pro League,
6580,Marco Knaller,M. Knaller,FC Ingolstadt 04,1,Austria,German 3. Bundesliga,
6581,Benjamin Paul Amos,B. Amos,Charlton Athletic,13,England,English League Championship,
6582,David Button,D. Button,Brighton & Hove Albion,27,England,English Premier League,
6583,Michael Paul Bostwick,M. Bostwick,Lincoln City,16,England,English League One,
6584,José Manuel Rojas Bahamondes,J. Rojas,CD Huachipato,13,Chile,Chilian Campeonato Nacional,
6585,Gabriel Enrique Gómez Girón,G. Gómez,Atlético Bucaramanga,6,Panama,Colombian Liga Postobón,
6586,赵旭日,Zhao Xuri,Dalian Professional Football Club,7,China PR,Chinese Super League,
6587,Jérémy Choplin,J. Choplin,AC Ajaccio,24,France,French Ligue 2,
6588,Carmelo Enrique Valencia Chaverra,C. Valencia,Cúcuta Deportivo,9,Colombia,Colombian Liga Postobón,
6589,José Ignacio Pallas Martínez,I. Pallas,Puebla FC,26,Uruguay,Mexican Liga MX,
6590,Javier Arley Reina Calvo,J. Reina,Once Caldas,10,Colombia,Colombian Liga Postobón,
6591,Stefan Aigner,S. Aigner,KFC Uerdingen 05,13,Germany,German 3. Bundesliga,
6592,Pierre Gibaud,P. Gibaud,Grenoble Foot 38,29,France,French Ligue 2,
6593,Miguel Ángel Pinto Jérez,M. Pinto,CD O'Higgins,1,Chile,Chilian Campeonato Nacional,
6594,Mark Milligan,M. Milligan,Southend United,5,Australia,English League One,
6595,Ilson Pereira Dias Júnior,Ilsinho,Philadelphia Union,25,Brazil,USA Major League Soccer,
6596,Massimiliano Carlini,M. Carlini,Castellammare di Stabia,14,Italy,Italian Serie B,
6597,Patric Klandt,P. Klandt,1. FC Nürnberg,1,Germany,German 2. Bundesliga,
6598,Wálter Alberto López Gasco,W. López,US Salernitana 1919,3,Uruguay,Italian Serie B,
6599,André Filipe Ribeiro Leão,André Leão,FC Paços de Ferreira,8,Portugal,Portuguese Liga ZON SAGRES,
6600,Arjan Swinkels,A. Swinkels,KV Mechelen,5,Netherlands,Belgian Jupiler Pro League,
6601,Robert Zwinkels,R. Zwinkels,ADO Den Haag,22,Netherlands,Holland Eredivisie,
6602,Roberto Canella Suárez,Canella,CD Lugo,15,Spain,Spanish Segunda División,
6603,César Alexis Cortés Pinto,C. Cortés,Club Deportivo Palestino,13,Chile,Chilian Campeonato Nacional,
6604,Nicolas Sebastian Frey,N. Frey,Chievo Verona,6,France,Italian Serie B,
6605,Janus Mats Drachmann,J. Drachmann,Odense Boldklub,8,Denmark,Danish Superliga,
6606,Craig Gardner,C. Gardner,Birmingham City,8,England,English League Championship,
6607,Salvatore Burrai,S. Burrai,Pordenone,8,Italy,Italian Serie B,
6608,Radosław Majewski,R. Majewski,Western Sydney Wanderers,10,Poland,Australian Hyundai A-League,
6609,Anthony Neil James Pilkington,A. Pilkington,Wigan Athletic,7,Republic of Ireland,English League Championship,
6610,Joris Sainati,J. Sainati,FC Lorient,4,France,French Ligue 2,
6611,David Cabrera Pujol,D. Cabrera,Club Universidad Nacional,7,Mexico,Mexican Liga MX,
6612,Rodolfo Salinas Ortiz,R. Salinas,Puebla FC,8,Mexico,Mexican Liga MX,
6613,Jesús Arturo Paganoni Peña,J. Paganoni,Tiburones Rojos de Veracruz,28,Mexico,Mexican Liga MX,
6614,Ari Freyr Skúlason,A. Skúlason,KV Oostende,23,Iceland,Belgian Jupiler Pro League,
6615,Cédric Mickael Avinel,C. Avinel,AC Ajaccio,21,France,French Ligue 2,
6616,Damien Marcq,D. Marcq,SV Zulte Waregem,5,France,Belgian Jupiler Pro League,
6617,邹正,Zou Zheng,Guangzhou City,2,China PR,Chinese Super League,
6618,Wayne Sandilands,W. Sandilands,Orlando Pirates,30,South Africa,Rest of World,
6619,戴琳,Dai Lin,Shandong Taishan,35,China PR,Chinese Super League,
6620,Danny Hylton,D. Hylton,Luton Town,9,England,English League Championship,
6621,Joseph William Mattock,J. Mattock,Rotherham United,3,England,English League One,
6622,Kazenga LuaLua,K. LuaLua,Luton Town,25,Congo DR,English League Championship,
6623,Sébastien Bruzzese,S. Bruzzese,KV Kortrijk,1,Belgium,Belgian Jupiler Pro League,
6624,肖智,Xiao Zhi,Guangzhou City,29,China PR,Chinese Super League,
6625,Jérémy Taravel,J. Taravel,KSV Cercle Brugge,4,France,Belgian Jupiler Pro League,
6626,James Henry,J. Henry,Oxford United,17,England,English League One,
6627,Jens Grahl,J. Grahl,VfB Stuttgart,13,Germany,German 2. Bundesliga,
6628,Jay Francis Spearing,J. Spearing,Blackpool,8,England,English League One,
6629,Arne Feick,A. Feick,1. FC Heidenheim 1846,28,Germany,German 2. Bundesliga,
6630,Patrick Fabian,P. Fabian,VfL Bochum 1848,19,Germany,German 2. Bundesliga,
6631,Daniel Toth,D. Toth,FC Flyeralarm Admira,10,Austria,Austrian Football Bundesliga,
6632,Michael Zullo,M. Zullo,Sydney FC,7,Australia,Australian Hyundai A-League,
6633,Francesco Migliore,F. Migliore,US Cremonese,17,Italy,Italian Serie B,
6634,Vurnon San Benito Anita,V. Anita,Leeds United,18,Netherlands,English League Championship,
6635,Loïc Nestor,L. Nestor,Grenoble Foot 38,14,France,French Ligue 2,
6636,Martin Hansen,M. Hansen,Strømsgodset IF,35,Denmark,Norwegian Eliteserien,
6637,Funso-King Ojo,F. Ojo,Aberdeen,22,Belgium,Scottish Premiership,
6638,Marco Schönbächler,M. Schönbächler,FC Zürich,27,Switzerland,Swiss Super League,
6639,Tomáš Pekhart,T. Pekhart,Unión Deportiva Las Palmas,17,Czech Republic,Spanish Segunda División,
6640,Hal Robson-Kanu,H. Robson-Kanu,West Bromwich Albion,4,Wales,English League Championship,
6641,Flavio Jesús Santos Carrillo,F. Santos,Fútbol Club Juárez,17,Mexico,Mexican Liga MX,
6642,Eduardo Herrera Aguirre,E. Herrera,Club Necaxa,21,Mexico,Mexican Liga MX,
6643,Jean-Pascal Fontaine,J. Fontaine,Le Havre AC,7,France,French Ligue 2,
6644,Maciej Sadlok,M. Sadlok,Wisła Kraków,4,Poland,Polish T-Mobile Ekstraklasa,
6645,Nduka Morisson Ozokwo,N. Ozokwo,MKE Ankaragücü,16,Nigeria,Turkish Süper Lig,
6646,Even Hovland,E. Hovland,Rosenborg BK,16,Norway,Norwegian Eliteserien,
6647,Matty James,M. James,Leicester City,22,England,English Premier League,
6648,Vegar Eggen Hedenstad,V. Hedenstad,Rosenborg BK,2,Norway,Norwegian Eliteserien,
6649,Thomas Jefferson Smith,T. Smith,Colorado Rapids,5,New Zealand,USA Major League Soccer,
6650,Liam Kelly,L. Kelly,Coventry City,6,Scotland,English League One,
6651,Tom Hiariej,T. Hiariej,FC Emmen,15,Netherlands,Holland Eredivisie,
6652,Daniel Arreola Argüello,D. Arreola,Puebla FC,5,Mexico,Mexican Liga MX,
6653,Néstor Vicente Vidrio Serrano,N. Vidrio,Puebla FC,33,Mexico,Mexican Liga MX,
6654,Jacob Butterfield,J. Butterfield,Luton Town,29,England,English League Championship,
6655,Josh Brendan David Magennis,J. Magennis,Hull City,27,Northern Ireland,English League Championship,
6656,Matías Augusto Pérez García,M. Pérez,Cúcuta Deportivo,10,Argentina,Colombian Liga Postobón,
6657,Javier Cortés Granados,J. Cortés,Santos Laguna,27,Mexico,Mexican Liga MX,
6658,William Paul Yarbrough Story,W. Yarbrough,Club León,25,United States,Mexican Liga MX,
6659,Frederick David Sears,F. Sears,Ipswich Town,20,England,English League One,
6660,Miguel Ángel Ponce Briseño,M. Ponce,Club Deportivo Guadalajara,16,Mexico,Mexican Liga MX,
6661,Hugo Isaac Rodríguez De La O,H. Rodríguez,Santos Laguna,20,Mexico,Mexican Liga MX,
6662,Jakob Jantscher,J. Jantscher,SK Sturm Graz,13,Austria,Austrian Football Bundesliga,
6663,Paulo Andrés Garcés Contreras,P. Garcés,CD Antofagasta,1,Chile,Chilian Campeonato Nacional,
6664,Juan Hernández García,E. Hernández,Pachuca,15,Mexico,Mexican Liga MX,
6665,Francisco Wanderson do Carmo Carneiro,Wanderson,Helsingborgs IF,20,Brazil,Swedish Allsvenskan,
6666,Alberto Pomini,A. Pomini,Venezia FC,22,Italy,Italian Serie B,
6667,Éder Luiz Lima de Souza,Éder,Seongnam FC,7,Brazil,Korean K League 1,
6668,Kevin Großkreutz,K. Großkreutz,KFC Uerdingen 05,6,Germany,German 3. Bundesliga,
6669,Pierrick Valdivia,P. Valdivia,Nîmes Olympique,8,France,French Ligue 1,
6670,Alexandre Serge Coeff,A. Coeff,AJ Auxerre,20,France,French Ligue 2,
6671,Aaron Meijers,A. Meijers,ADO Den Haag,8,Netherlands,Holland Eredivisie,
6672,Jason Steele,J. Steele,Brighton & Hove Albion,23,England,English Premier League,
6673,Marc Valiente Hernández,Marc Valiente,Real Sporting de Gijón,4,Spain,Spanish Segunda División,
6674,Francesco Renzetti,F. Renzetti,US Cremonese,33,Italy,Italian Serie B,
6675,Paul Hanlon,P. Hanlon,Hibernian,4,Scotland,Scottish Premiership,
6676,Sebastian Eriksson,S. Eriksson,IFK Göteborg,7,Sweden,Swedish Allsvenskan,
6677,Luke John Murphy,L. Murphy,Bolton Wanderers,8,England,English League One,
6678,Tom Hateley,T. Hateley,Piast Gliwice,6,England,Polish T-Mobile Ekstraklasa,
6679,Mads Winther Albæk,M. Albæk,SønderjyskE,90,Denmark,Danish Superliga,
6680,Loïc Damour,L. Damour,Heart of Midlothian,22,France,Scottish Premiership,
6681,Mirko Boland,M. Boland,Adelaide United,31,Germany,Australian Hyundai A-League,
6682,Christopher James Solly,C. Solly,Charlton Athletic,20,England,English League Championship,
6683,Manuel Castellano Castro,Lillo,CA Osasuna,16,Spain,Spain Primera Division,
6684,Daniel Hernández Santos,D. Hernández,CD Tenerife,25,Venezuela,Spanish Segunda División,
6685,Marley Joseph Watkins,M. Watkins,Bristol City,15,Wales,English League Championship,
6686,Richard Neil Peter Tait,R. Tait,Motherwell,2,Scotland,Scottish Premiership,
6687,Bartosz Rymaniak,B. Rymaniak,Piast Gliwice,28,Poland,Polish T-Mobile Ekstraklasa,
6688,Mame Ousmane Cissokho,O. Cissokho,AS Nancy Lorraine,7,Senegal,French Ligue 2,
6689,Daniel Castellano Betancor,Dani Castellano,Unión Deportiva Las Palmas,23,Spain,Spanish Segunda División,
6690,Javier Castellano Betancor,Javi Castellano,Unión Deportiva Las Palmas,18,Spain,Spanish Segunda División,
6691,Rodolph William Austin,R. Austin,Esbjerg fB,8,Jamaica,Danish Superliga,
6692,Mads Reginiussen,M. Reginiussen,Ranheim Fotball,7,Norway,Norwegian Eliteserien,
6693,Fredrik Semb Berge,F. Berge,Odds BK,3,Norway,Norwegian Eliteserien,
6694,Lunan Ruben Gabrielsen,R. Gabrielsen,Molde FK,4,Norway,Norwegian Eliteserien,
6695,Riccardo Brosco,R. Brosco,Ascoli,23,Italy,Italian Serie B,
6696,Hervé Bazile,H. Bazile,Le Havre AC,29,Haiti,French Ligue 2,
6697,Oscar Erik Jansson,O. Jansson,Örebro SK,1,Sweden,Swedish Allsvenskan,
6698,Dominic Maroh,D. Maroh,KFC Uerdingen 05,32,Slovenia,German 3. Bundesliga,
6699,Alfredo Ortuño Martínez,Ortuño,Real Oviedo,15,Spain,Spanish Segunda División,
6700,Haris Vučkić,H. Vučkić,FC Twente,10,Slovenia,Holland Eredivisie,
6701,Callum Henry McManaman,C. McManaman,Luton Town,7,England,English League Championship,
6702,Alberto Perea Correoso,Alberto Perea,Cádiz CF,10,Spain,Spanish Segunda División,
6703,Gianmarco Zigoni,G. Zigoni,Venezia FC,9,Italy,Italian Serie B,
6704,Patrick Mortensen,P. Mortensen,Aarhus GF,9,Denmark,Danish Superliga,
6705,Karl Emil Salomonsson,E. Salomonsson,Sanfrecce Hiroshima,3,Sweden,Japanese J. League Division 1,
6706,Tobias Sana,T. Sana,IFK Göteborg,89,Sweden,Swedish Allsvenskan,
6707,Davide Petrucci,D. Petrucci,Ascoli,8,Italy,Italian Serie B,
6708,Marcel Gaus,M. Gaus,FC Ingolstadt 04,19,Germany,German 3. Bundesliga,
6709,登里 享平,K. Noborizato,Kawasaki Frontale,2,Japan,Japanese J. League Division 1,
6710,Bruno Martins Teles,Bruno Teles,FC Paços de Ferreira,6,Brazil,Portuguese Liga ZON SAGRES,
6711,于洋,Yu Yang,Beijing Guoan FC,3,China PR,Chinese Super League,
6712,김성준 金圣埈,Kim Sung Joon,Ulsan Hyundai FC,17,Korea Republic,Korean K League 1,
6713,Carlos Emilio Orrantía Treviño,C. Orrantía,Santos Laguna,8,Mexico,Mexican Liga MX,
6714,Nabil Bahoui,N. Bahoui,AIK,11,Sweden,Swedish Allsvenskan,
6715,Philipp Huspek,P. Huspek,SK Sturm Graz,18,Austria,Austrian Football Bundesliga,
6716,Mads Fenger Nielsen,M. Fenger,Hammarby IF,13,Denmark,Swedish Allsvenskan,
6717,Mario Ortíz Ruiz,Mario Ortíz,Racing Santander,20,Spain,Spanish Segunda División,
6718,Héctor Rodas Ramírez,Héctor Rodas,AD Alcorcón,4,Spain,Spanish Segunda División,
6719,Timo Perthel,T. Perthel,1. FC Magdeburg,29,Germany,German 3. Bundesliga,
6720,Marc Mateu Sanjuán,Marc Mateu,CD Numancia,21,Spain,Spanish Segunda División,
6721,Přemysl Kovář,P. Kovář,SK Slavia Praha,31,Czech Republic,Czech Republic Gambrinus Liga,
6722,Milan Đurić,M. Đurić,US Salernitana 1919,11,Bosnia and Herzegovina,Italian Serie B,
6723,Charlison Girigorio Benschop,C. Benschop,FC Groningen,35,Curacao,Holland Eredivisie,
6724,Matthieu Serge Fernand Saunier,M. Saunier,FC Lorient,20,France,French Ligue 2,
6725,Marin Leovac,M. Leovac,Dinamo Zagreb,22,Croatia,Rest of World,
6726,Samuel Şahin-Radlinger,S. Şahin-Radlinger,Barnsley,1,Austria,English League Championship,
6727,Maximilian Beister,M. Beister,FC Ingolstadt 04,10,Germany,German 3. Bundesliga,
6728,Marcos Álvarez,M. Álvarez,VfL Osnabrück,9,Germany,German 2. Bundesliga,
6729,Davide Gavazzi,D. Gavazzi,Pordenone,7,Italy,Italian Serie B,
6730,Niklas Alexander Backman,N. Backman,Aarhus GF,3,Sweden,Danish Superliga,
6731,James Hammond Norwood,J. Norwood,Ipswich Town,10,England,English League One,
6732,Daniel John Wilson,D. Wilson,Colorado Rapids,4,Scotland,USA Major League Soccer,
6733,Ismael López Blanco,Isma López,CD Tenerife,18,Spain,Spanish Segunda División,
6734,Borja Viguera Manzanares,Borja Viguera,CD Numancia,25,Spain,Spanish Segunda División,
6735,Thierry Rua Moutinho,Thierry Moutinho,FCSB (Steaua),14,Portugal,Romanian Liga I,
6736,Jukka Raitala,J. Raitala,Club de Foot Montréal,22,Finland,USA Major League Soccer,
6737,Joris Delle,J. Delle,Orlando Pirates,1,France,Rest of World,
6738,Amer Shafi' Mahmoud Sabbah,A. Shafi,Al Fayha,99,Jordan,Saudi Abdul L. Jameel League,
6739,Danny Ward,D. Ward,Cardiff City,23,England,English League Championship,
6740,Mahmut Ertuğrul Taşkıran,E. Taşkıran,İttifak Holding Konyaspor,17,Turkey,Turkish Süper Lig,
6741,Jakob Ahlmann Nielsen,J. Ahlmann,Aalborg BK,3,Denmark,Danish Superliga,
6742,Cristian Damián Erbes,C. Erbes,Atlético Tucumán,21,Argentina,Argentina Primera División,
6743,Louis Elliott Moult,L. Moult,Preston North End,9,England,English League Championship,
6744,Lukas Schmitz,L. Schmitz,RZ Pellets Wolfsberger AC,7,Germany,Austrian Football Bundesliga,
6745,Adriano Grimaldi,A. Grimaldi,KFC Uerdingen 05,19,Germany,German 3. Bundesliga,
6746,Jóan Símun Edmundsson,J. Edmundsson,DSC Arminia Bielefeld,14,Faroe Islands,German 2. Bundesliga,
6747,Fabien Farnolle,F. Farnolle,Yeni Malatyaspor,30,Benin,Turkish Süper Lig,
6748,Marcel Titsch Rivero,M. Titsch Rivero,SV Wehen Wiesbaden,26,Germany,German 2. Bundesliga,
6749,Kadeem Raymond Mathurin-Harris,K. Harris,Sheffield Wednesday,7,England,English League Championship,
6750,Teal Alexander Bunbury,T. Bunbury,New England Revolution,10,United States,USA Major League Soccer,
6751,Gjermund Åsen,G. Åsen,Rosenborg BK,22,Norway,Norwegian Eliteserien,
6752,Osvaldo Alexis González Sepúlveda,O. González,Universidad de Chile,4,Chile,Chilian Campeonato Nacional,
6753,Eric Larsson,E. Larsson,Malmö FF,2,Sweden,Swedish Allsvenskan,
6754,Tom Eaves,T. Eaves,Hull City,9,England,English League Championship,
6755,Yann-Erik Randa Bahezre de Lanlay,Y. de Lanlay,Rosenborg BK,11,Norway,Norwegian Eliteserien,
6756,Julian Leist,J. Leist,SG Sonnenhof Großaspach,5,Germany,German 3. Bundesliga,
6757,Sérgio Ricardo dos Santos Júnior,Serginho,Matsumoto Yamaga FC,8,Brazil,Japanese J. League Division 1,
6758,Jon Peter Taylor,J. Taylor,Doncaster Rovers,10,England,English League One,
6759,Daniel Bentley,D. Bentley,Bristol City,1,England,English League Championship,
6760,Alexander Kačaniklić,A. Kačaniklić,Hammarby IF,20,Sweden,Swedish Allsvenskan,
6761,Michael Simões Domingues,Mika,Belenenses SAD,39,Portugal,Portuguese Liga ZON SAGRES,
6762,Cayetano Bartolomé Bonnín Vásquez,Tano Bonnin,Unión Deportiva Almería,2,Dominican Republic,Spanish Segunda División,
6763,Jorge Alejandro Zárate Careaga,J. Zárate,Puebla FC,21,Mexico,Mexican Liga MX,
6764,Dan Peter Ulvestad,D. Ulvestad,Kristiansund BK,5,Norway,Norwegian Eliteserien,
6765,Elbasan Rashani,E. Rashani,Odds BK,11,Kosovo,Norwegian Eliteserien,
6766,Simone Benedetti,S. Benedetti,Pisa,33,Italy,Italian Serie B,
6767,Kamer Qaka,K. Qaka,Universitatea Craiova,14,Albania,Romanian Liga I,
6768,Andrew William Halliday,A. Halliday,Rangers FC,16,Scotland,Scottish Premiership,
6769,Nathan Luke Brattan,L. Brattan,Sydney FC,26,Australia,Australian Hyundai A-League,
6770,Jonathan Delaplace,J. Delaplace,FC Lorient,22,France,French Ligue 2,
6771,Dennis Hediger,D. Hediger,FC Thun,17,Switzerland,Swiss Super League,
6772,Mathias Wittek,M. Wittek,SV Darmstadt 98,15,Germany,German 2. Bundesliga,
6773,Fabian Koch,F. Koch,SK Sturm Graz,26,Austria,Austrian Football Bundesliga,
6774,David Omar Rodríguez Barrera,Deivid,Unión Deportiva Las Palmas,15,Spain,Spanish Segunda División,
6775,Francisco García Solsona,Fran García,Albacete BP,3,Spain,Spanish Segunda División,
6776,Gavin Alexander Massey,G. Massey,Wigan Athletic,11,England,English League Championship,
6777,Dušan Cvetinović,D. Cvetinović,Yokohama F. Marinos,2,Serbia,Japanese J. League Division 1,
6778,Nick Proschwitz,N. Proschwitz,Eintracht Braunschweig,33,Germany,German 3. Bundesliga,
6779,Joffrey Cuffaut,J. Cuffaut,Valenciennes FC,14,France,French Ligue 2,
6780,Alexandre Letellier,A. Letellier,Sarpsborg 08 FF,30,France,Norwegian Eliteserien,
6781,Mathieu Gorgelin,M. Gorgelin,Le Havre AC,1,France,French Ligue 2,
6782,Collin Quaner,C. Quaner,Huddersfield Town,23,Germany,English League Championship,
6783,Joachim Marc Van Damme,J. Van Damme,KV Mechelen,13,Belgium,Belgian Jupiler Pro League,
6784,Zakaria Diallo,Z. Diallo,Racing Club de Lens,5,France,French Ligue 2,
6785,Gordan Bunoza,G. Bunoza,Incheon United FC,20,Bosnia and Herzegovina,Korean K League 1,
